benchmark,bin_idx,tile_width,cir_fidelity,nbins,cir_coherence,cir_transfer_fidelity,cir_duration,n_aods,n_rows,selector_algo,selector_weight,set_size,compilation_time,planning_time,bundling_time,scheduling_time,placement_time,routing_time
graphstate_n20,1,47.0,0.78664649705426,4,0.9726674237752451,0.9011784036598731,2208.4795137549104,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
dj_n16,1,37.5,0.8074784552900731,4,0.948056116652724,0.9379749638258461,5164.773471659635,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
multiply_n13,1,28.5,0.6460077657418001,4,0.9422832578203411,0.8589229565610541,7254.925148081586,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
swap_test_n25,2,97.0,0.32758529482673404,4,0.7536796833597801,0.6933758171534361,17463.509462041475,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
wstate_n27,2,67.0,0.47260004012579204,4,0.815195659222353,0.805648229109544,11673.72899381334,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
hamsim_n18,2,47.0,0.753990465948833,4,0.9168184435647571,0.930497374953234,7447.373547031108,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
cat_n22,3,57.0,0.7107522972387581,4,0.8869589507643041,0.9157205572498951,8340.49385063066,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
wstate_n24,3,57.0,0.530926096091838,4,0.8608529813383201,0.8252275899809911,9685.971407260364,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
bv_n14,3,37.0,0.8287687785491591,4,0.95404705303456,0.945512643502422,5207.959311889609,1,1,fifo,0,14,55.35067063104361,0.41737694293260574,7.859896868467331e-05,54.4377949051559,0.01954395556822419,0.2881987630389631
ghz_n23,0,57.0,0.708117960680218,6,0.8928319507271111,0.9120631656822731,7554.580492871413,1,1,sa,1,6,47.62478819210082,0.25990717485547066,0.0029205423779785633,47.2213609656319,0.0025992002338171005,0.05763046583160758
graphstate_n20,1,47.0,0.765537003684951,6,0.946566097945138,0.9011784036598731,4248.585752746101,1,1,sa,1,6,47.62478819210082,0.25990717485547066,0.0029205423779785633,47.2213609656319,0.0025992002338171005,0.05763046583160758
bv_n19,2,47.0,0.7674333243660281,6,0.9301894083799681,0.9267809647166121,5879.924893186189,1,1,sa,1,6,47.62478819210082,0.25990717485547066,0.0029205423779785633,47.2213609656319,0.0025992002338171005,0.05763046583160758
cat_n22,3,57.0,0.7225274555011061,6,0.9016533556336671,0.9157205572498951,7220.168580248026,1,1,sa,1,6,47.62478819210082,0.25990717485547066,0.0029205423779785633,47.2213609656319,0.0025992002338171005,0.05763046583160758
dj_n26,4,67.0,0.664782237372678,6,0.865308870324435,0.9011784036598741,8510.274630786686,1,1,sa,1,6,47.62478819210082,0.25990717485547066,0.0029205423779785633,47.2213609656319,0.0025992002338171005,0.05763046583160758
swap_test_n25,5,97.0,0.32315666232629503,6,0.719675516445432,0.700347864034748,20227.53040951418,1,1,sa,1,6,47.62478819210082,0.25990717485547066,0.0029205423779785633,47.2213609656319,0.0025992002338171005,0.05763046583160758
